Klíč_adresy,Adresa_GPS,Poslední_kontrola,Příští_kontrola,Dní_do_kontroly,Stav_kontroly,Barva_bodu,Všechny_termíny,GPS_lat,GPS_lon,GPS_poznámka,Zdrojový_soubor,Zdrojový_řádek,Rok výroby,Serviska,Hlídáme sami termín,Hlavní kontakt,Kraj,Jaký zdroj,Umístění,DŮLEŽITÁ POZNÁMKA,Měsíc_1,Měsíc_2,Měsíc_3,Měsíc_4,Měsíc_5,Měsíc_6,Měsíc_7,Měsíc_8,Měsíc_9,Měsíc_10,Měsíc_11,Měsíc_12,Sloupec_21,Poznámky,Cena FZ,Faktura na,Protokol s fakturou na,Smlouva ano/ne,Sloupec_27,Sloupec_28,Sloupec_29,Sloupec_30,Sloupec_31,Sloupec_32,Sloupec_33,Sloupec_34,Sloupec_35,Sloupec_36,Sloupec_37,Sloupec_38,Sloupec_39,Sloupec_40,Sloupec_41,Sloupec_42,Sloupec_43,Sloupec_44,Sloupec_45,Sloupec_46,Sloupec_47,Sloupec_48,Sloupec_49,Sloupec_50,Sloupec_51,Sloupec_52,Sloupec_53,Sloupec_54,Sloupec_55,Sloupec_56,Sloupec_57,Sloupec_58,Sloupec_59,Sloupec_60,Sloupec_61,Sloupec_62,Sloupec_63,Sloupec_64,Sloupec_65,Sloupec_66,Sloupec_67,Sloupec_68,Sloupec_69,Sloupec_70,Sloupec_71,Sloupec_72,Sloupec_73,Sloupec_74,Sloupec_75,Sloupec_76,Sloupec_77,Sloupec_78,Sloupec_79,Sloupec_80,Sloupec_81,Sloupec_82,Sloupec_83,Sloupec_84,Sloupec_85,Sloupec_86,Sloupec_87,Sloupec_88,Sloupec_89,Sloupec_90,Sloupec_91,Sloupec_92,Sloupec_93,Sloupec_94,Počet_termínů,Kontakt,Umístění zdroje,Sloupec_8,Cena FZ v Kč,Protokol na
"adamov u brna, svitavská 3, bd, česká republika","Adamov u Brna, Svitavská 3, BD, Česká republika",,,,Bez termínu,šedá,,,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",3,2021,,,,Jihomoravský,ASTIP PS 100kVA/20kVA/3F - 45 minut,,,,,,,,,,,,2026-03-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Watzke 774 087 046,"Adamov u Brna, Svitavská 3, BD",,,
"adamov, náměstí práce, eden, česká republika","Adamov, Náměstí práce, EDEN, Česká republika",,2026-11-14,194,Více než 60 dnů,zelená,2026-11-14 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",4,2018,,,,Jihomoravský,ASTIP STRONG 3 000VA/3F -3C/1H,,,,,,,,,,,,,14/26,,,15.10.2021 STOP STAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,David Trojtler 724 186 341,"Adamov, Náměstí práce, EDEN",,,
"albrechtice, nemocniční 492/4, ldn, česká republika","Albrechtice, Nemocniční 492/4, LDN, Česká republika",2025-07-24,2026-01-24,-100,Po termínu,červená,2025-07-24 (proběhlá); 2026-01-24 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,3,"2023, nově 2025",,,"Varecha David, 603 557 218",Moravskoslezský,"ASTIP STRONG 68kVA/7,5kVA/3F-30 minut/EI45","Albrechtice, Nemocniční 492_4, LDN",,24/26,,,,,,24/25,,,,,,,"vytopený zdroj, nabídka na nový, objednali",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"aš, kostelní 43, česká republika","Aš, Kostelní 43, Česká republika",,,,Bez termínu,šedá,,,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,4,,,,,Karlovarský,"PS 1000/3f, 7 minut","Aš, Kostelní 43",,,,,,,,,,,,,,,"2024 -není složka, ani kontakt - mrtvá věc STOP STAV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
"aš, nemocniční 52, carvac, česká republika","Aš, Nemocniční 52, Carvac, Česká republika",2026-01-14,2026-07-14,71,Více než 60 dnů,zelená,2026-01-14 (proběhlá); 2026-07-14 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,5,2014,ano,,pan Dvořák 607 974 879,Karlovarský,  PS 4000/3f-45 minut,"Aš, Nemocniční 52, Carvac",,14/26,,,,,,14/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"bechyně, novodvorská 301, alšova jihočeská galerie, česká republika","Bechyně, Novodvorská 301, Alšova jihočeská galerie, Česká republika",,2027-03-10,310,Více než 60 dnů,zelená,2027-03-10 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",5,2020,ano,poznámka,,Jihomoravský,ASTIP PS LIFTBACK 7 500/3F -sjezd,,,,,10/27,,,,,,,,,,,"chybí signál S-OK, výtah nerozpozná režim sjezd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Seifert 777 239 959,"Bechyně, Novodvorská 301, Alšova jihočeská galerie",,,
"bedřichov 290, hotel, česká republika","Bedřichov 290, hotel, Česká republika",2025-04-24,2025-10-24,-192,Po termínu,červená,2025-04-24 (proběhlá); 2025-10-24 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,6,2018,ano,ano,Březina  725 511 293,Liberecký,PS 7500/3F -30 minut + RPO,"Bedřichov 290, hotel",,,,,24/25,,,,,,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"benešov, máchova 400, nemocnice rudolfa a stefanie, česká republika","Benešov, Máchova 400, Nemocnice Rudolfa a Stefanie, Česká republika",2026-04-08,2026-10-08,157,Více než 60 dnů,zelená,2026-04-08 (proběhlá); 2026-10-08 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,7,2024,ano,ano,Ježek 724 754 287,Středočeský,ASTIP STRONG LIFTBACK 75kVA/3F-45 minut,"Benešov, Máchova 400, Nemocnice Rudolfa a Stefanie",,,,,8/26,,,,,,8/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"bohumín, bonatrans, česká republika","Bohumín, BONATRANS, Česká republika",2022-02-10,2022-08-10,-1363,Po termínu,červená,2022-02-10 (proběhlá); 2022-08-10 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,10,2017,,,Zdařil 725 747 002,Moravskoslezský,2 x ASTIP STRONG 2 kVA/3F -17 minut,"Bohumín, BONATRANS",,,10/22,,,,,,10/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"bohumín, pudlov, ždb drátovna, česká republika","Bohumín, Pudlov, ŽDB Drátovna, Česká republika",2025-03-27,2025-09-27,-219,Po termínu,červená,2025-03-27 (proběhlá); 2025-09-27 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,9,2019,,,Petr Růžanský -731 548 010,Moravskoslezský,4 x ASTIP PS 10 kVA/3f.,"Bohumín - Pudlov, ŽDB Drátovna",,,,27/25,,,,,,27/25,,,,,"pozor, tady je problém s Tiesem, Fojtáchem, viz info ve složce",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"bor u tachova, ctp park, česká republika","Bor u Tachova, CTP Park, Česká republika",,2027-02-17,289,Více než 60 dnů,zelená,2027-02-17 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",7,2017,,,,Plzeňský,"PS 75 000/3F-30 minut, RPO",,,,17/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Vacek 704 869 077,"Bor u Tachova, CTP Park",,,
"bor u tachova, česká republika","Bor u Tachova, Česká republika",2017-11-15,2017-11-15,-3092,Po termínu,červená,2017-11-15 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",6,2015,,,,Plzeňský,Astip PS 1200/3f – 7 minut,,,,,,,,,,,,,15/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Bor u Tachova,,,
"borek u rokycan, policie, česká republika","Borek u Rokycan, policie, Česká republika",,2026-09-18,137,Více než 60 dnů,zelená,2026-09-18 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",8,2016,hlídat sami,ano,,Plzeňský,ASTIP STRONG 4000VA/3F- 30 minut,,,,,,,,,,,18/26,,,,,"09/2025 -nový pajšl do zdroje, máme hlídat kontroly sami",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Robert Sventek 734 267 039,"Borek u Rokycan, policie",,,
